DISKBENCH,1,R,Y,2014800946.471093
DISKBENCH,1,R,N,1605516025.377439
DISKBENCH,1,W,Y,162802931.218024
DISKBENCH,1,W,N,768460236.576624
DISKBENCH,1024,R,Y,1932584155.119070
DISKBENCH,1024,R,N,1538173236.513037
DISKBENCH,1024,W,Y,401289376.971775
DISKBENCH,1024,W,N,1085634954.931272
DISKBENCH,1048576,R,Y,1957129334.652982
DISKBENCH,1048576,R,N,1573190467.748434
DISKBENCH,1048576,W,Y,367564909.376374
DISKBENCH,1048576,W,N,1081600734.940074
DISKBENCH,1073741824,R,Y,1776156762.845909
DISKBENCH,1073741824,R,N,1564056255.471508
DISKBENCH,1073741824,W,Y,402594480.692284
DISKBENCH,1073741824,W,N,1255607828.737881
MEMBENCH,1,1,1
MEMBENCH,1,2,1
MEMBENCH,1,1,2
MEMBENCH,1,2,2
MEMBENCH,1,1,3
MEMBENCH,1,2,3
MEMBENCH,1024,1,1
MEMBENCH,1024,2,1
MEMBENCH,1024,1,2
MEMBENCH,1024,2,2
MEMBENCH,1024,1,3
MEMBENCH,1024,2,3
MEMBENCH,1048576,1,1
MEMBENCH,1048576,2,1
MEMBENCH,1048576,1,2
MEMBENCH,1048576,2,2
MEMBENCH,1048576,1,3
MEMBENCH,1048576,2,3
CPUBENCH
