DISKBENCH,1,R,Y,3129895132.046872
DISKBENCH,1,R,N,1513472046.187501
DISKBENCH,1,W,Y,1807722250.936487
DISKBENCH,1,W,N,1433823706.777982
DISKBENCH,1024,R,Y,3093358408.813293
DISKBENCH,1024,R,N,1584428471.086819
DISKBENCH,1024,W,Y,1832983931.074158
DISKBENCH,1024,W,N,1232868111.099629
DISKBENCH,1048576,R,Y,2906569028.663929
DISKBENCH,1048576,R,N,1578943859.019643
DISKBENCH,1048576,W,Y,1853567203.651404
DISKBENCH,1048576,W,N,1402084860.893842
DISKBENCH,1073741824,R,N,1586861388.172528
DISKBENCH,1073741824,W,N,1182419150.545816
MEMBENCH,1,1,1
MEMBENCH,1,2,1
MEMBENCH,1,1,2
MEMBENCH,1,2,2
MEMBENCH,1,1,3
MEMBENCH,1,2,3
MEMBENCH,1024,1,1
MEMBENCH,1024,2,1
MEMBENCH,1024,1,2
MEMBENCH,1024,2,2
MEMBENCH,1024,1,3
MEMBENCH,1024,2,3
MEMBENCH,1048576,1,1
MEMBENCH,1048576,2,1
MEMBENCH,1048576,1,2
MEMBENCH,1048576,2,2
MEMBENCH,1048576,1,3
MEMBENCH,1048576,2,3
CPUBENCH
