MEMBENCH,1,1,1,105.085998
MEMBENCH,1,2,1,184.537755
MEMBENCH,1,1,2,43.241198
MEMBENCH,1,2,2,17.855250
MEMBENCH,1,1,3,16.273393
MEMBENCH,1,2,3,21.971986
MEMBENCH,1024,1,1,94.731311
MEMBENCH,1024,2,1,182.746190
MEMBENCH,1024,1,2,45.775756
MEMBENCH,1024,2,2,12.108502
MEMBENCH,1024,1,3,4089.456869
MEMBENCH,1024,2,3,7780.415994
MEMBENCH,1048576,1,1,85.508912
MEMBENCH,1048576,2,1,197.477533
MEMBENCH,1048576,1,2,41.957996
MEMBENCH,1048576,2,2,3.406231
MEMBENCH,1048576,1,3,3928.477298
MEMBENCH,1048576,2,3,5883.149813
CPUBENCH, 1,  0.278904,  0.487803
CPUBENCH, 2,  0.562017,  1.007019
CPUBENCH, 4,  0.989852,  1.775632
